seed,local,quantile,model,lambda,d_model,er_loss,batch_size,no_epochs,rank_loss,sdfa_ce,avg_beam_dl_distance,avg_dl_distance,time,er_pred,er_target
8,FALSE,0.8,SDFA_suffix_model,0.5,16,TRUE,128,50,FALSE,TRUE,0.1933846,0.392122429,1.281931303,0,0
8,TRUE,0.8,SDFA_suffix_model,0.5,16,TRUE,32,50,FALSE,TRUE,0.221417874,0.381012944,3.19565529,0,0
8,TRUE,0.8,SDFA_suffix_model,0.5,16,TRUE,64,50,FALSE,TRUE,0.209097372,0.389549887,2.084396262,0,0
8,TRUE,0.8,SDFA_suffix_model,0.5,16,TRUE,128,50,FALSE,TRUE,0.192070129,0.379492599,1.544761389,0,0
8,FALSE,0.8,SDFA_suffix_model,0.1,32,TRUE,128,50,FALSE,FALSE,0.214740705,0.398190359,1.286386023,0,0
8,TRUE,0.8,SDFA_suffix_model,0.1,32,TRUE,32,50,FALSE,FALSE,0.249721189,0.393363186,3.212709429,0,0
8,TRUE,0.8,SDFA_suffix_model,0.1,32,TRUE,64,50,FALSE,FALSE,0.239788624,0.391893862,2.090875608,0,0
8,TRUE,0.8,SDFA_suffix_model,0.1,32,TRUE,128,50,FALSE,FALSE,0.216643928,0.391861107,1.549026385,0,0
8,FALSE,0.8,SDFA_suffix_model,0.1,32,TRUE,128,50,FALSE,TRUE,0.217282099,0.391906299,1.274930189,0,0
8,TRUE,0.8,SDFA_suffix_model,0.1,32,TRUE,32,50,FALSE,TRUE,0.245002391,0.400134911,3.223177672,0,0
8,TRUE,0.8,SDFA_suffix_model,0.1,32,TRUE,64,50,FALSE,TRUE,0.23821375,0.394997817,2.098918512,0,0
8,TRUE,0.8,SDFA_suffix_model,0.1,32,TRUE,128,50,FALSE,TRUE,0.219967928,0.391942027,1.536767344,0,0
8,FALSE,0.8,SDFA_suffix_model,0.2,32,TRUE,128,50,FALSE,FALSE,0.218813953,0.396708839,1.277653526,0,0
8,TRUE,0.8,SDFA_suffix_model,0.2,32,TRUE,32,50,FALSE,FALSE,0.241219276,0.397503247,3.214184675,0,0
8,TRUE,0.8,SDFA_suffix_model,0.2,32,TRUE,64,50,FALSE,FALSE,0.241593268,0.396652283,2.087736827,0,0
8,TRUE,0.8,SDFA_suffix_model,0.2,32,TRUE,128,50,FALSE,FALSE,0.218813518,0.396570132,1.533732299,0,0
8,FALSE,0.8,SDFA_suffix_model,0.2,32,TRUE,128,50,FALSE,TRUE,0.21159731,0.386884449,1.288155988,0,0
8,TRUE,0.8,SDFA_suffix_model,0.2,32,TRUE,32,50,FALSE,TRUE,0.245200566,0.393562628,3.24397909,0,0
8,TRUE,0.8,SDFA_suffix_model,0.2,32,TRUE,64,50,FALSE,TRUE,0.240013006,0.396021094,2.101090357,0,0
8,TRUE,0.8,SDFA_suffix_model,0.2,32,TRUE,128,50,FALSE,TRUE,0.219925342,0.397586328,1.547827405,0,0
8,FALSE,0.8,SDFA_suffix_model,0.5,32,TRUE,128,50,FALSE,FALSE,0.221116861,0.392239863,1.286998774,0,0
