,seed,model,lambda,d_model,er_loss,no_epochs,max_len,recall,precision,f1,accuracy,dataset,time
921,76,NAP_model,0.0,8,False,10,20,0.8904585178977613,0.9688379996459692,0.9231391105817304,0.8904585178977613,BPI20RequestForPayment,15.052640791563316
922,76,NAP_model,0.0,8,False,10,30,0.7469172752304561,0.991447992128914,0.834944549156461,0.7469172752304561,BPI20RequestForPayment,13.654155629128216
923,76,NAP_model,0.0,16,False,10,5,0.9085358553813,0.9866076025053864,0.942219119669152,0.9085358553813,BPI20RequestForPayment,9.358084225049245
924,76,NAP_model,0.0,16,False,10,10,0.9059020711121752,0.9844339841643176,0.9396257602647043,0.9059020711121752,BPI20RequestForPayment,12.147645325027408
925,76,NAP_model,0.0,16,False,10,20,0.9050640488447264,0.983564499274048,0.9386948477244462,0.9050640488447264,BPI20RequestForPayment,11.699535000137985
926,76,NAP_model,0.0,16,False,10,30,0.9066203759128456,0.9849640284392632,0.9403849681113114,0.9066203759128456,BPI20RequestForPayment,12.055400729039684
927,76,NAP_model,0.0,32,False,10,5,0.908176702980965,0.9840460985733652,0.9406502331385508,0.908176702980965,BPI20RequestForPayment,8.90658561666496
928,76,NAP_model,0.0,32,False,10,10,0.9065006584460672,0.9852650306192666,0.940200423679646,0.9065006584460672,BPI20RequestForPayment,12.33567504999228
929,76,NAP_model,0.0,32,False,10,20,0.9068598108464024,0.9856507971333702,0.9406257628061688,0.9068598108464024,BPI20RequestForPayment,12.507449462264775
930,76,NAP_model,0.0,32,False,10,30,0.907338680713516,0.9854874468157968,0.9408133287869902,0.907338680713516,BPI20RequestForPayment,12.749348754435776
931,23,SDFA_NAP_model,0.1,8,True,10,5,0.8844726445588411,0.9865595137699787,0.9255678670522162,0.8844726445588411,BPI20RequestForPayment,8.96551927914843
932,23,SDFA_NAP_model,0.2,8,True,10,5,0.907338680713516,0.9856229724995968,0.9408556340504076,0.907338680713516,BPI20RequestForPayment,10.229905883362516
933,23,SDFA_NAP_model,0.5,8,True,10,5,0.8830360349575003,0.9849023314736948,0.9256221419366047,0.8830360349575003,BPI20RequestForPayment,9.666226166905837
